======================================
       AVERAGE ION TRAJECTORY         
======================================
 
Compiled: 15:08:41  11/01/2016    
MPI Processes:    1
 
Date: 21:35 24/06/2016
    0.16265924E+07        0.93180233E+04
    0.16303929E+07        0.93073677E+04
    0.16341933E+07        0.92967018E+04
    0.16379938E+07        0.92860257E+04
    0.16417942E+07        0.92753396E+04
    0.16455947E+07        0.92646435E+04
    0.16493951E+07        0.92539376E+04
    0.16531956E+07        0.92432218E+04
    0.16569960E+07        0.92324964E+04
    0.16607965E+07        0.92217614E+04
    0.16645969E+07        0.92110169E+04
    0.16683974E+07        0.92002630E+04
    0.16721978E+07        0.91894997E+04
    0.16759983E+07        0.91787273E+04
    0.16797987E+07        0.91679457E+04
    0.16835992E+07        0.91571551E+04
    0.16873996E+07        0.91463556E+04
    0.16912001E+07        0.91355472E+04
    0.16950005E+07        0.91247301E+04
    0.16988010E+07        0.91139043E+04
    0.17026014E+07        0.91030700E+04
    0.17064019E+07        0.90922272E+04
    0.17102023E+07        0.90813760E+04
    0.17140028E+07        0.90705166E+04
    0.17178032E+07        0.90596490E+04
    0.17216037E+07        0.90487733E+04
    0.17254041E+07        0.90378896E+04
    0.17292045E+07        0.90269980E+04
    0.17330050E+07        0.90160986E+04
    0.17368054E+07        0.90051915E+04
    0.17406059E+07        0.89942767E+04
    0.17444063E+07        0.89833545E+04
    0.17482068E+07        0.89724248E+04
    0.17520072E+07        0.89614878E+04
    0.17558077E+07        0.89505435E+04
    0.17596081E+07        0.89395921E+04
    0.17634086E+07        0.89286336E+04
    0.17672090E+07        0.89176682E+04
    0.17710095E+07        0.89066958E+04
    0.17748099E+07        0.88957167E+04
    0.17786104E+07        0.88847309E+04
    0.17824108E+07        0.88737386E+04
    0.17862113E+07        0.88627397E+04
    0.17900117E+07        0.88517343E+04
    0.17938122E+07        0.88407227E+04
    0.17976126E+07        0.88297048E+04
    0.18014131E+07        0.88186808E+04
    0.18052135E+07        0.88076508E+04
    0.18090140E+07        0.87966147E+04
    0.18128144E+07        0.87855728E+04
    0.18166149E+07        0.87745252E+04
    0.18204153E+07        0.87634718E+04
    0.18242158E+07        0.87524128E+04
    0.18280162E+07        0.87413483E+04
    0.18318167E+07        0.87302783E+04
    0.18356171E+07        0.87192031E+04
    0.18394176E+07        0.87081225E+04
    0.18432180E+07        0.86970368E+04
    0.18470185E+07        0.86859460E+04
    0.18508189E+07        0.86748502E+04
    0.18546194E+07        0.86637496E+04
    0.18584198E+07        0.86526440E+04
    0.18622203E+07        0.86415338E+04
    0.18660207E+07        0.86304189E+04
    0.18698212E+07        0.86192994E+04
    0.18736216E+07        0.86081754E+04
    0.18774221E+07        0.85970470E+04
    0.18812225E+07        0.85859143E+04
    0.18850230E+07        0.85747773E+04
    0.18888234E+07        0.85636362E+04
    0.18926239E+07        0.85524910E+04
    0.18964243E+07        0.85413418E+04
    0.19002248E+07        0.85301887E+04
    0.19040252E+07        0.85190317E+04
    0.19078257E+07        0.85078710E+04
    0.19116261E+07        0.84967066E+04
    0.19154266E+07        0.84855386E+04
    0.19192270E+07        0.84743670E+04
    0.19230275E+07        0.84631920E+04
    0.19268279E+07        0.84520137E+04
    0.19306284E+07        0.84408320E+04
    0.19344288E+07        0.84296471E+04
    0.19382293E+07        0.84184590E+04
    0.19420297E+07        0.84072679E+04
    0.19458302E+07        0.83960737E+04
    0.19496306E+07        0.83848766E+04
    0.19534311E+07        0.83736767E+04
    0.19572315E+07        0.83624739E+04
    0.19610320E+07        0.83512685E+04
    0.19648324E+07        0.83400603E+04
    0.19686329E+07        0.83288496E+04
    0.19724333E+07        0.83176364E+04
    0.19762338E+07        0.83064207E+04
    0.19800342E+07        0.82952026E+04
    0.19838347E+07        0.82839822E+04
    0.19876351E+07        0.82727595E+04
    0.19914356E+07        0.82615347E+04
    0.19952360E+07        0.82503077E+04
    0.19990365E+07        0.82390787E+04
    0.20028369E+07        0.82278476E+04
    0.20066374E+07        0.82166146E+04
    0.20104378E+07        0.82053797E+04
    0.20142383E+07        0.81941430E+04
    0.20180387E+07        0.81829045E+04
    0.20218392E+07        0.81716643E+04
    0.20256396E+07        0.81604224E+04
    0.20294401E+07        0.81491789E+04
    0.20332405E+07        0.81379339E+04
    0.20370410E+07        0.81266874E+04
    0.20408414E+07        0.81154395E+04
    0.20446419E+07        0.81041902E+04
    0.20484423E+07        0.80929395E+04
    0.20522428E+07        0.80816875E+04
    0.20560432E+07        0.80704343E+04
    0.20598437E+07        0.80591799E+04
    0.20636441E+07        0.80479244E+04
    0.20674446E+07        0.80366678E+04
    0.20712450E+07        0.80254101E+04
    0.20750455E+07        0.80141514E+04
    0.20788459E+07        0.80028917E+04
    0.20826464E+07        0.79916311E+04
    0.20864468E+07        0.79803697E+04
    0.20902473E+07        0.79691073E+04
    0.20940477E+07        0.79578442E+04
    0.20978482E+07        0.79465803E+04
